course_id,title,description,skills,prerequisites,difficulty_level,category,resource_type,duration_hours
DS001,Introduction to Python for Data Science,"Learn the fundamentals of Python programming with a focus on data science workflows. Covers variables, loops, functions, and basic data structures. By the end you will write scripts to load and inspect datasets.","Python,data types,loops,functions,pandas basics",,beginner,Data Science,course,6
DS002,Statistics for Data Science,"A practical introduction to descriptive and inferential statistics essential for data analysis. Topics include mean, median, variance, probability distributions, and hypothesis testing. All examples are implemented in Python using NumPy and SciPy.","statistics,probability,hypothesis testing,NumPy,SciPy",,beginner,Data Science,course,6
DS003,Data Cleaning and Preprocessing with Pandas,"Master the art of wrangling messy real-world datasets using the Pandas library. Covers missing value handling, outlier detection, encoding, and feature scaling. You will clean three realistic datasets as hands-on projects.","pandas,data cleaning,feature engineering,missing values",DS001,beginner,Data Science,course,6
DS004,Data Visualization with Matplotlib and Seaborn,"Discover how to communicate insights through compelling charts and plots. Covers line charts, bar plots, histograms, heatmaps, and interactive visualizations. Projects include exploratory data analysis on real datasets.","matplotlib,seaborn,data visualization,EDA",DS001,beginner,Data Science,course,6
DS005,SQL for Data Analysts,"Learn SQL from the ground up to query relational databases like a professional. Covers SELECT, JOIN, GROUP BY, subqueries, window functions, and query optimization. Practice on a realistic sales database included in the course.","SQL,databases,querying,joins,aggregations",,beginner,Data Science,course,6
DS006,Excel for Data Analysis,"Build data analysis skills using Microsoft Excel without writing a single line of code. Covers pivot tables, VLOOKUP, conditional formatting, and charting best practices. Ideal for analysts transitioning from spreadsheets to code-based tools.","Excel,pivot tables,VLOOKUP,charting",,beginner,Data Science,course,6
DS007,Machine Learning with Scikit-Learn,"Implement and tune supervised and unsupervised machine learning algorithms using scikit-learn. Covers regression, classification, clustering, model evaluation, and cross-validation. End-to-end project: predict customer churn.","machine learning,scikit-learn,regression,classification,model evaluation","DS001,DS002,DS003",intermediate,Data Science,course,15
DS008,Applied Natural Language Processing,"Build NLP pipelines for text classification, sentiment analysis, and named entity recognition. Uses spaCy, NLTK, and HuggingFace transformers. Project: classify customer support tickets automatically.","NLP,text classification,transformers,spaCy,sentiment analysis",DS007,intermediate,Data Science,course,15
DS009,Feature Engineering and Selection,"Learn systematic techniques for creating and selecting the features that most improve model performance. Covers polynomial features, target encoding, mutual information, and SHAP-based selection. Applied to tabular and time-series data.","feature engineering,feature selection,SHAP,target encoding",DS007,intermediate,Data Science,course,15
DS010,Time Series Analysis and Forecasting,"Analyse temporal data and build forecasting models using ARIMA, Prophet, and LSTM networks. Covers stationarity, seasonality decomposition, and evaluation metrics for time-series. Project: forecast retail sales for the next 30 days.","time series,ARIMA,Prophet,LSTM,forecasting",DS007,intermediate,Data Science,course,15
DS011,Data Engineering with Python and Airflow,"Design and automate ETL pipelines using Apache Airflow and Python operators. Covers DAGs, task dependencies, scheduling, and monitoring pipeline health. Integrates with PostgreSQL and cloud object storage.","ETL,Airflow,data pipelines,DAGs,PostgreSQL","DS001,DS005",intermediate,Data Science,course,15
DS012,A/B Testing and Experimentation,"Run rigorous A/B tests to evaluate product changes with statistical confidence. Covers experimental design, sample-size calculation, p-values, and Bayesian alternatives. Case studies from e-commerce and SaaS product teams.","A/B testing,statistics,experimentation,Bayesian,p-value",DS002,intermediate,Data Science,course,15
DS013,Recommender Systems,"Build collaborative filtering and content-based recommendation engines from scratch. Covers matrix factorization, cosine similarity, and hybrid approaches. Project: movie recommendation system using the MovieLens dataset.","recommendation systems,collaborative filtering,matrix factorization,cosine similarity",DS007,intermediate,Data Science,course,15
DS014,Deep Learning with PyTorch,"Design and train deep neural networks for image, text, and tabular data using PyTorch. Covers CNNs, RNNs, attention mechanisms, and transfer learning. Capstone: fine-tune a BERT model for domain-specific sentiment analysis.","deep learning,PyTorch,CNN,RNN,transformers,transfer learning",DS007,advanced,Data Science,course,30
DS015,MLOps: Deploying Models to Production,"Learn best practices for packaging, deploying, monitoring, and retraining ML models at scale. Covers Docker, FastAPI serving, MLflow experiment tracking, and drift detection. End-to-end project: deploy a fraud-detection model to a cloud endpoint.","MLOps,Docker,FastAPI,MLflow,model deployment,drift detection","DS007,DS011",advanced,Data Science,course,30
DS016,Large Language Models: Prompting and Fine-Tuning,"Understand the architecture of transformer-based LLMs and learn to leverage them effectively. Covers prompt engineering, retrieval-augmented generation (RAG), and LoRA fine-tuning. Project: build a domain-specific Q&A chatbot without expensive API calls.","LLMs,transformers,prompt engineering,RAG,LoRA,fine-tuning",DS014,advanced,Data Science,course,30
